Activity_Name,Description,Energy_Level,Focus_Requirement,Duration,Recommended_Location,Creativity_Level,Relaxation_Score,Physical_Effort,Keywords
Nature Walk,Leisurely walking to enjoy natural surroundings,3,5,60,Outdoors,4,6,3,"Nature,Relaxation"
Biking,Riding bicycles for fun or fitness,7,5,120,Outdoors,3,5,4,"Outdoor,Fitness"
Cooking,Preparing food through different methods,5,4,90,Indoors,3,6,5,"Food,Culinary"
Baking,"Making bread, pastries, and desserts",4,4,120,Indoors,4,7,2,"Food,Culinary"
Home Brewing,Making beer or other beverages at home,4,5,180,Indoors,3,5,3,"DIY,Food"
Woodworking,Crafting items using wood,5,5,120,Indoors,6,5,5,"Crafts,DIY"
Sewing,Creating fabric items through stitching,3,5,120,Indoors,6,5,1,"Crafts,DIY"
Model Building,Assembling scale models from kits,3,5,90,Indoors,6,5,1,"Craft,Creative"
Puzzle Making,Creating jigsaw puzzles from images,3,5,120,Indoors,4,6,2,"Crafts,Fun"
Video Gaming,Playing electronic games on consoles or computers,3,5,120,Indoors,5,3,2,"Entertainment,Fun"
Board Gaming,Engaging in strategic or casual board games,3,5,120,Indoors,4,4,1,"Games,Social"
Knapping,Creating stone tools or artifacts,4,5,180,Indoors,7,5,3,"Craft,Historical"
Volunteering,Offering time and skills for community service,4,6,120,Various,4,6,2,"Giving,Social"
Game Night,Gathering with friends for board or card games,5,5,180,Indoors,4,4,2,"Social,Fun"
Theater,Watching plays or performances,3,8,120,Theater,8,2,1,"Performing Arts,Entertainment"
Concert,Attending live music events,6,5,120,Venue,8,2,2,"Music,Social"
Picnic,Sharing a meal outside with friends or family,2,4,120,Outdoors,3,8,1,"Food,Outdoor"
Meetup,Gathering with others for common interests,3,5,120,Varied,4,5,1,"Social,Networking"
Partying,Celebrating events with music and socializing,6,5,180,Indoors,5,4,3,"Social,Fun"
Trivia Night,Participating in quiz games at venues,3,6,120,Bar,6,4,1,"Games,Social"
Escape Room,Solving puzzles to escape themed rooms,5,5,60,Indoors,7,5,3,"Puzzle,Teamwork"
Karaoke,Singing along to recorded music with friends,5,6,120,Bar,8,6,2,"Music,Social"
Meditation,Practice of mindfulness and mental clarity,1,10,30,Indoors,10,9,1,"Relaxation,Mindfulness"
Massage,Therapeutic manipulation of body tissues,3,4,60,Spa,4,10,3,"Relaxation,Wellness"
Aromatherapy,Using scents for relaxation and wellness,2,3,30,Indoors,5,8,2,"Relaxation,Wellness"
Tai Chi,Gentle martial art focusing on fluid movements,4,7,60,Indoors,5,7,5,"Mindfulness,Movement"
Napping,Short sleep sessions for rejuvenation,1,2,30,Indoors,1,10,1,"Rest,Relaxation"
Bathing,Relaxing in a bath with soothing elements,1,2,45,Indoors,2,10,1,"Relaxation,Self-Care"
Nature Relaxation,Listening to nature sounds for calming,1,2,60,Outdoors,1,10,1,"Nature,Calm"
Journaling,Writing down thoughts and feelings for reflection,2,5,30,Indoors,4,8,1,"Mental,Relaxation"
Breathwork,Control of breath for relaxation and focus,2,8,30,Indoors,10,9,1,"Relaxation,Mindfulness"
Chiropractic,Therapy for spine and body alignment,3,4,60,Clinic,2,10,3,"Wellness,Health"
